Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
17965,58728,Female,Loyal Customer,40,Business travel,Business,2173,1,1,1,1,4,4,4,3,4,4,5,4,3,4,225,213.0,satisfied
44813,43,Female,Loyal Customer,54,Business travel,Business,1584,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,8.0,satisfied
86420,104036,Female,Loyal Customer,47,Business travel,Business,2093,1,1,1,1,4,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
13443,67684,Male,Loyal Customer,54,Business travel,Business,1464,3,3,3,3,2,5,5,3,3,3,3,3,3,3,0,0.0,satisfied
70825,114477,Female,Loyal Customer,45,Business travel,Business,337,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
53586,121639,Male,Loyal Customer,33,Business travel,Business,2156,3,3,3,3,2,2,2,2,5,3,5,4,4,2,0,2.0,satisfied
70452,128354,Male,Loyal Customer,16,Business travel,Business,370,5,5,5,5,5,5,5,5,3,2,4,3,5,5,0,0.0,satisfied
37234,38915,Male,Loyal Customer,52,Business travel,Business,410,1,3,3,3,1,4,4,1,1,1,1,2,1,1,0,25.0,neutral or dissatisfied
28089,53943,Female,Loyal Customer,32,Business travel,Business,3391,3,3,3,3,4,4,4,4,3,4,4,4,4,4,0,0.0,satisfied
20934,84339,Female,Loyal Customer,54,Business travel,Business,2613,4,4,4,4,3,5,5,5,5,5,5,5,5,5,2,7.0,satisfied
69370,115184,Female,Loyal Customer,44,Business travel,Business,337,3,3,3,3,5,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
35456,56520,Male,Loyal Customer,51,Business travel,Business,1945,3,3,3,3,2,4,5,4,4,4,4,3,4,3,0,15.0,satisfied
31182,119283,Male,Loyal Customer,44,Business travel,Business,214,3,3,3,3,4,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
82000,112596,Female,Loyal Customer,27,Business travel,Business,3225,1,0,0,3,4,0,3,4,2,3,3,1,2,4,21,10.0,neutral or dissatisfied
41639,106929,Male,Loyal Customer,31,Business travel,Business,2511,4,4,4,4,4,4,4,4,4,4,4,4,5,4,6,2.0,satisfied
37902,65436,Female,Loyal Customer,46,Business travel,Business,2165,2,2,4,2,2,4,4,3,3,4,3,4,3,3,0,0.0,satisfied
51281,86453,Male,Loyal Customer,42,Business travel,Business,3663,3,3,3,3,3,2,2,3,3,3,3,3,3,4,25,37.0,neutral or dissatisfied
9473,82884,Male,Loyal Customer,43,Business travel,Business,3656,4,4,4,4,3,1,1,5,5,5,5,5,5,5,0,0.0,satisfied
63887,84296,Female,Loyal Customer,34,Business travel,Business,235,2,5,5,5,4,4,4,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
80626,114865,Female,Loyal Customer,32,Business travel,Business,3205,4,4,3,4,4,4,4,4,3,4,5,4,5,4,0,0.0,satisfied
79204,29023,Male,Loyal Customer,54,Business travel,Business,3671,5,5,5,5,2,3,4,5,5,5,5,5,5,5,52,50.0,satisfied
